danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,name,artist,genre
0.617,0.771,10,-5.586,0,0.112,0.0384,3.32e-06,0.162,0.553,180.002,3nCFiwtuVqVJmnSasApvr3,267747,4,Salgo Pa' la Calle,Daddy Yankee,Reggaeton
0.788,0.674,2,-8.392,1,0.0537,0.281,0.033,0.0892,0.864,94.997,5I0u5YHYvA6fQZstVCFwqC,214747,4,Dile A Tu Amiga,Ñejo,Reggaeton
0.745,0.744,5,-8.23,1,0.0837,0.0266,1.84e-05,0.0959,0.849,96.026,1FTTvjvgX2Qd9ZJqo36m1C,244663,4,Nada Va Pasar,Yaga Y Mackie,Reggaeton
0.782,0.767,9,-7.981,0,0.0871,0.266,3.64e-05,0.0947,0.622,88.005,6DxS2ZRl8G3EagHkovYXA2,304091,4,Zun Da Da,Zion,Reggaeton
0.702,0.864,1,-5.496,1,0.0818,0.108,0.0,0.187,0.788,94.994,4mM90OUhSN79RRKT0qv4dY,215118,4,Fuera del Planeta,Randy,Reggaeton
0.796,0.757,5,-5.799,0,0.157,0.31,0.0,0.297,0.611,95.991,1pWAxwbITR6lG3kuwyWrGf,218410,4,Pa Bajarte el Calentamiento,Jadiel el Incomparable,Reggaeton
0.77,0.63,9,-13.213,0,0.0516,0.00965,0.000346,0.261,0.5,100.004,3cen7DS8IWL3XADfzggKma,239049,4,Fashion Girl,Jadiel,Reggaeton
0.742,0.878,0,-6.111,0,0.0453,0.0244,0.0,0.0926,0.395,106.015,5IhmIlLgSpp9GtztqrTP2v,261408,4,Bailando Fue,Randy,Reggaeton
0.789,0.815,11,-7.991,0,0.0516,0.181,0.121,0.145,0.763,95.009,1ohrqIMhros7Gi7mX80WB6,203667,4,Dos Palgas,Jowell & Randy,Reggaeton
0.86,0.699,3,-6.415,0,0.0974,0.0827,0.00197,0.26,0.871,93.992,5RCcvZz5i0rckjbCTSPL1s,303543,4,Aparentemente,Yaga Y Mackie,Reggaeton
0.79,0.765,6,-6.642,0,0.188,0.278,0.0,0.0721,0.964,170.063,2qq5HTgeJTLL9oY7b4X16y,219481,4,Automovil,Ñejo,Reggaeton
0.646,0.907,8,-1.817,0,0.0773,0.39,0.0,0.366,0.785,90.004,1IAHgUu1f8sQkz8iXv1cB1,219038,4,La Noche Perfecta,Jory Boy,Reggaeton
0.646,0.81,2,-6.482,1,0.141,0.0959,2.68e-05,0.266,0.361,95.985,0cpzO8YjhyR8JfLzfm5cOr,264680,4,Besos Mojados,Wisin & Yandel,Reggaeton
0.824,0.603,11,-8.004,0,0.145,0.249,0.0,0.0864,0.72,92.001,4EnODtEgKiice70gUPpBHw,305006,4,Vamos en Serio,Mackieaveliko,Reggaeton
0.883,0.626,1,-7.541,1,0.0853,0.0648,4.24e-06,0.0594,0.565,107.023,4oYN44rloSqxabqrSgIani,209453,4,Algo Musical,Ñejo & Dalmata,Reggaeton
