iter	Passed	Remaining
0	1	1528
1	2	1052
2	2	852
3	2	732
4	3	653
5	3	596
6	3	555
7	4	525
8	4	529
9	5	538
10	6	550
11	6	525
12	6	525
13	7	520
14	8	547
15	8	545
16	9	536
17	9	526
18	9	514
19	10	504
20	10	496
21	10	487
22	11	478
23	13	535
24	13	525
25	13	514
26	14	505
27	14	495
28	14	483
29	14	477
30	15	470
31	17	527
32	18	532
33	19	548
34	21	594
35	22	598
36	22	598
37	23	597
38	24	599
39	25	607
40	25	603
41	26	595
42	26	591
43	27	588
44	27	580
45	27	574
46	28	568
47	28	562
48	29	566
49	29	565
50	30	561
51	30	561
52	31	560
53	31	557
54	32	553
55	32	549
56	33	546
57	33	541
58	33	538
59	34	542
60	35	539
61	35	535
62	35	533
63	36	531
64	36	528
65	37	525
66	37	523
67	38	520
68	38	522
69	39	519
70	39	516
71	39	514
72	40	511
73	40	507
74	41	508
75	41	504
76	42	505
77	43	512
78	43	509
79	44	508
80	44	505
81	44	503
82	45	500
83	45	497
84	45	493
85	46	490
86	46	487
87	46	484
88	46	480
89	47	477
90	47	474
91	47	472
92	48	469
93	48	466
94	48	464
95	49	461
96	49	459
97	49	458
98	50	455
99	50	454
100	50	452
101	51	452
102	51	451
103	52	449
104	52	447
105	52	444
106	52	442
107	53	439
108	53	438
109	54	437
110	54	435
111	54	434
112	55	432
113	55	430
114	55	428
115	55	426
116	56	424
117	56	422
118	57	422
119	57	421
120	57	420
121	58	421
122	59	426
123	60	428
124	61	432
125	62	431
126	62	429
127	62	427
128	63	426
129	63	424
130	63	423
131	64	421
132	64	419
133	64	418
134	64	416
135	65	414
136	65	412
137	65	411
138	66	409
139	66	408
140	66	406
141	67	405
142	67	404
143	67	403
144	68	402
145	68	400
146	68	399
147	69	398
148	69	398
149	70	400
150	71	399
151	71	399
152	71	398
153	72	396
154	72	395
155	73	395
156	73	394
157	73	392
158	74	391
159	74	390
160	74	389
161	74	387
162	75	386
163	75	386
164	76	385
165	77	387
166	78	390
167	78	389
168	79	388
169	79	387
170	79	386
171	81	392
