Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
Australia,6.7,,84.0,12.37,73.0,67.33,0.93,37433.0,528768.0,19.4,3.1,82.97,7.16,1.03,55206.0,93.8,,86.6,2.7,501.2,14.27,92.0,92.0,20.33
Austria,12.2,0.8,85.67,5.27,72.0,85.67,0.5,37001.0,309637.0,20.8,2.3,81.97,7.28,1.33,53132.0,93.0,1.6,71.6,1.3,489.2,14.51,76.0,91.67,17.0
Belgium,12.8,0.7,79.67,4.23,64.67,56.33,1.1,34884.0,447607.0,20.0,2.4,82.07,6.88,2.3,54327.0,90.2,2.1,73.2,2.0,498.0,15.48,88.0,79.0,19.33
Brazil,11.7,6.7,56.67,5.5,57.0,44.67,19.27,,,,,75.9,6.32,,,85.0,,,2.2,408.6,,80.0,70.33,16.0
Canada,7.1,0.2,92.33,3.27,70.0,77.67,1.23,34421.0,478240.0,22.9,3.8,82.1,7.04,0.5,55342.0,93.2,2.6,88.2,2.9,517.6,14.55,68.0,90.33,17.0
Chile,23.4,9.4,67.33,7.43,56.0,41.33,2.43,,135787.0,18.4,7.0,80.63,6.3,,26729.0,89.2,1.9,60.8,1.3,446.0,,47.0,62.0,17.33
Colombia,22.6,12.3,58.67,23.0,58.0,49.67,23.4,,,,,76.7,5.98,1.13,,82.2,1.0,80.4,1.4,409.8,,53.0,81.67,14.0
Costa Rica,17.5,2.3,42.67,20.87,54.67,47.33,10.0,16517.0,,17.0,,80.47,6.52,1.63,,84.4,1.2,73.33,1.8,422.6,,66.0,87.33,
Czechia,17.0,0.5,94.0,4.4,74.0,77.33,0.7,26664.0,,23.4,2.3,79.3,7.04,0.57,29885.0,96.6,1.5,62.2,1.6,493.8,,62.0,89.33,17.67
Denmark,10.0,0.5,81.67,1.1,74.0,85.33,0.53,33774.0,149864.0,23.3,4.5,81.5,7.52,0.93,58430.0,95.0,1.9,70.6,2.0,501.0,,85.0,92.67,19.33
Estonia,5.9,5.7,90.67,2.2,74.0,80.0,1.87,23784.0,188627.0,17.0,5.4,78.77,6.5,1.17,30720.0,94.8,1.7,56.2,2.7,526.4,14.98,64.0,86.0,17.67
Finland,5.5,0.4,91.33,3.63,72.33,88.0,1.23,33471.0,230032.0,23.1,2.2,82.07,8.02,1.2,46230.0,97.0,1.9,68.2,2.2,518.8,15.17,69.0,96.67,19.67
France,11.4,0.5,81.33,7.7,65.0,74.0,0.43,34375.0,298639.0,20.7,3.1,82.9,6.78,2.93,45581.0,94.8,1.8,66.2,2.1,494.8,16.17,75.0,78.33,16.67
Germany,12.0,0.1,86.33,3.8,76.67,76.0,0.37,38971.0,304317.0,20.0,1.4,81.37,7.4,1.2,53745.0,90.2,1.8,65.2,1.8,503.0,15.63,76.0,91.0,18.0
Greece,14.5,0.4,76.33,4.37,56.0,69.0,1.0,20791.0,148323.0,21.8,21.7,81.7,5.92,11.0,27207.0,79.4,1.2,80.4,1.8,455.8,15.07,58.0,67.33,19.0
Hungary,16.7,3.5,85.67,1.47,69.67,74.0,0.9,21026.0,150296.0,19.9,3.8,76.4,6.2,1.17,25409.0,94.6,1.4,58.8,1.2,478.2,15.04,70.0,81.0,16.33
Iceland,6.4,0.0,76.0,11.53,77.67,85.33,0.67,,,,1.0,83.2,7.62,0.67,67488.0,98.5,1.6,76.4,2.1,478.2,,81.0,97.0,19.0
Ireland,7.8,0.2,85.33,4.73,68.0,76.33,0.47,29488.0,370341.0,20.6,2.6,82.77,7.08,1.17,49474.0,96.2,2.1,83.4,1.3,510.6,14.52,63.0,80.0,18.0
Israel,19.7,,88.0,14.13,67.0,80.0,1.53,,,,4.6,82.9,7.26,0.2,39322.0,95.4,1.2,77.8,2.5,466.0,,67.0,76.67,15.67
Italy,15.9,0.6,63.0,3.27,58.0,73.0,0.5,29431.0,295020.0,22.5,8.6,83.57,6.64,4.83,37769.0,89.6,1.4,74.0,2.5,475.6,16.3,73.0,77.33,16.67
Japan,13.7,6.4,,,77.33,77.0,0.2,28872.0,294735.0,21.8,2.7,84.43,6.18,0.77,38515.0,89.2,1.9,36.2,1.4,512.4,14.1,53.0,87.0,16.0
Korea,27.3,2.5,89.33,,66.0,82.0,0.8,24590.0,362340.0,14.7,2.9,83.3,5.84,0.0,41960.0,80.8,1.5,33.6,2.9,517.6,14.8,77.0,82.0,17.33
Latvia,12.7,11.2,89.33,1.67,71.67,73.33,3.8,19783.0,79245.0,20.8,6.3,75.5,6.26,2.2,29876.0,92.6,1.2,47.4,2.2,484.2,,55.0,83.33,18.33
Lithuania,10.5,11.8,93.67,0.97,71.67,62.33,2.5,26976.0,182039.0,18.4,,76.4,6.52,2.47,31811.0,90.0,1.5,46.6,2.4,478.8,,57.0,83.0,18.33
Luxembourg,10.0,0.1,74.0,2.73,67.0,86.67,0.23,44773.0,941162.0,20.7,2.2,82.7,7.46,1.73,65854.0,91.2,2.0,71.2,1.7,476.4,,90.0,85.0,15.0
Mexico,20.3,25.9,41.67,25.8,60.0,42.67,27.6,16269.0,,17.8,4.0,75.1,6.22,0.1,16230.0,79.4,1.1,65.67,3.2,419.0,,63.0,75.0,15.33
Netherlands,12.2,0.1,81.0,0.33,78.0,83.33,0.6,34984.0,248599.0,19.6,2.5,82.17,7.54,0.93,58828.0,94.4,2.0,74.2,2.6,498.2,15.51,79.0,91.33,19.0
New Zealand,6.0,,81.0,13.97,76.67,66.33,1.3,39024.0,514162.0,25.0,4.5,82.1,7.26,0.4,45269.0,94.8,2.4,86.4,2.5,505.8,14.67,82.0,84.67,17.67
Norway,6.7,0.0,82.33,1.37,75.0,93.33,0.6,39144.0,268358.0,17.7,2.8,83.0,7.3,0.9,55780.0,96.0,2.1,74.8,2.2,496.4,15.69,78.0,98.0,18.33
OECD - Total,14.0,3.0,79.0,10.0,66.33,74.0,2.63,30490.0,323960.0,20.5,5.1,80.97,6.78,1.33,49165.0,91.6,1.7,68.4,2.1,488.6,15.04,69.0,84.33,17.67
Poland,22.8,2.3,93.33,4.07,68.67,71.33,0.53,23675.0,233221.0,21.2,5.0,78.0,6.2,0.63,32527.0,94.6,1.1,60.6,2.6,513.6,14.64,68.0,82.33,17.67
Portugal,8.3,0.9,55.33,5.67,69.33,83.33,0.7,24877.0,255303.0,19.6,8.1,81.77,6.02,2.3,28410.0,89.6,1.7,50.2,1.5,493.4,,49.0,89.33,17.0
Russia,11.8,13.8,95.0,0.13,70.0,64.33,4.9,19546.0,,17.4,,73.2,5.52,1.1,,89.6,1.0,43.33,,479.4,,68.0,61.67,16.33
Slovak Republic,18.5,1.5,92.33,4.1,67.67,76.33,0.8,21149.0,171425.0,27.4,8.8,77.77,6.58,3.0,23619.0,95.2,1.1,66.0,3.0,464.4,,66.0,81.33,15.67
Slovenia,17.0,0.2,90.0,5.47,71.0,90.33,0.4,25250.0,233286.0,18.2,5.9,81.6,6.48,1.93,41445.0,95.0,1.6,65.8,2.5,502.8,,53.0,92.67,18.33
South Africa,28.5,35.9,48.0,15.17,38.67,40.33,14.0,9338.0,,18.1,,64.2,5.06,18.13,,90.2,,,,,,66.0,72.0,
Spain,10.0,0.3,63.0,2.47,62.0,80.33,0.7,27155.0,366534.0,21.7,15.8,83.9,6.66,5.07,37922.0,94.0,1.9,76.2,1.8,,15.7,72.0,76.0,18.0
Sweden,5.8,0.0,84.0,0.9,75.33,79.0,1.03,33730.0,,20.1,4.4,83.17,7.34,1.0,47020.0,94.0,1.7,76.0,2.0,503.4,,87.0,97.33,19.67
Switzerland,10.1,0.0,89.0,0.37,80.0,86.0,0.33,39697.0,,21.4,,83.97,7.5,1.7,64824.0,94.2,1.9,80.6,2.3,493.6,,45.0,95.67,17.33
Türkiye,27.1,4.9,41.67,24.1,47.67,58.67,1.0,,,18.9,13.0,78.6,5.04,3.57,,86.4,1.0,67.8,1.5,467.4,14.49,86.0,62.0,18.67
United Kingdom,10.1,0.5,82.0,10.8,75.33,78.33,0.17,33049.0,524422.0,23.2,3.3,81.27,6.86,0.9,47147.0,92.8,2.0,73.0,3.1,506.2,14.94,68.0,82.0,16.67
United States,7.7,0.1,91.67,10.3,67.0,78.33,6.0,51147.0,684500.0,18.3,4.2,78.87,7.1,0.47,69392.0,94.0,2.4,85.8,3.1,500.8,14.55,65.0,88.0,17.33
